




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.5228828 Released 2021-08-18
Analyzed List:	H2AFZ_brain.intersect_with_DeepZ.genes_uniq.txt (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20595)	H2AFZ_brain.intersect_with_DeepZ.genes_uniq.txt (5597)	H2AFZ_brain.intersect_with_DeepZ.genes_uniq.txt (expected)	H2AFZ_brain.intersect_with_DeepZ.genes_uniq.txt (over/under)	H2AFZ_brain.intersect_with_DeepZ.genes_uniq.txt (fold Enrichment)	H2AFZ_brain.intersect_with_DeepZ.genes_uniq.txt (raw P-value)	H2AFZ_brain.intersect_with_DeepZ.genes_uniq.txt (FDR)
translational initiation (GO:0006413)	66	41	17.94	+	2.29	7.22E-05	3.53E-03
rRNA processing (GO:0006364)	219	135	59.52	+	2.27	4.80E-13	6.85E-11
rRNA metabolic process (GO:0016072)	230	140	62.51	+	2.24	3.67E-13	5.39E-11
mRNA destabilization (GO:0061157)	69	42	18.75	+	2.24	6.66E-05	3.33E-03
spliceosomal complex assembly (GO:0000245)	56	34	15.22	+	2.23	4.08E-04	1.59E-02
ribonucleoprotein complex biogenesis (GO:0022613)	424	257	115.23	+	2.23	5.84E-23	1.83E-20
mitochondrial respiratory chain complex assembly (GO:0033108)	93	56	25.27	+	2.22	7.41E-06	4.52E-04
nuclear-transcribed mRNA catabolic process (GO:0000956)	98	59	26.63	+	2.22	3.26E-06	2.14E-04
ribosome biogenesis (GO:0042254)	293	176	79.63	+	2.21	1.00E-15	2.02E-13
mRNA splicing, via spliceosome (GO:0000398)	234	138	63.59	+	2.17	2.99E-12	3.85E-10
RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)	234	138	63.59	+	2.17	2.99E-12	3.82E-10
RNA destabilization (GO:0050779)	73	43	19.84	+	2.17	9.73E-05	4.58E-03
translation (GO:0006412)	366	215	99.47	+	2.16	2.85E-18	6.80E-16
RNA splicing, via transesterification reactions (GO:0000375)	238	139	64.68	+	2.15	4.22E-12	5.18E-10
regulation of stem cell differentiation (GO:2000736)	57	33	15.49	+	2.13	1.09E-03	3.55E-02
peptide biosynthetic process (GO:0043043)	388	223	105.44	+	2.11	4.88E-18	1.14E-15
regulation of ubiquitin-protein transferase activity (GO:0051438)	54	31	14.68	+	2.11	1.32E-03	4.18E-02
ncRNA processing (GO:0034470)	388	222	105.44	+	2.11	7.65E-18	1.74E-15
protein K48-linked ubiquitination (GO:0070936)	60	34	16.31	+	2.09	9.33E-04	3.15E-02
tRNA processing (GO:0008033)	129	73	35.06	+	2.08	1.57E-06	1.07E-04
mitochondrial ATP synthesis coupled electron transport (GO:0042775)	85	48	23.10	+	2.08	1.09E-04	5.09E-03
ATP synthesis coupled electron transport (GO:0042773)	85	48	23.10	+	2.08	1.09E-04	5.08E-03
tRNA metabolic process (GO:0006399)	181	102	49.19	+	2.07	1.31E-08	1.15E-06
aerobic electron transport chain (GO:0019646)	80	45	21.74	+	2.07	1.69E-04	7.47E-03
respiratory electron transport chain (GO:0022904)	105	59	28.54	+	2.07	2.04E-05	1.16E-03
mRNA catabolic process (GO:0006402)	125	70	33.97	+	2.06	2.72E-06	1.81E-04
regulation of mitotic metaphase/anaphase transition (GO:0030071)	61	34	16.58	+	2.05	1.49E-03	4.63E-02
regulation of signal transduction by p53 class mediator (GO:1901796)	94	52	25.55	+	2.04	6.80E-05	3.37E-03
RNA methylation (GO:0001510)	85	47	23.10	+	2.03	1.65E-04	7.37E-03
ncRNA metabolic process (GO:0034660)	469	259	127.46	+	2.03	5.00E-19	1.33E-16
oxidative phosphorylation (GO:0006119)	113	62	30.71	+	2.02	1.72E-05	9.81E-04
RNA splicing (GO:0008380)	356	195	96.75	+	2.02	2.05E-14	3.58E-12
RNA 3'-end processing (GO:0031123)	106	58	28.81	+	2.01	3.37E-05	1.83E-03
regulation of mitotic sister chromatid separation (GO:0010965)	66	36	17.94	+	2.01	1.45E-03	4.51E-02
RNA catabolic process (GO:0006401)	158	86	42.94	+	2.00	5.77E-07	4.20E-05
regulation of proteasomal ubiquitin-dependent protein catabolic process (GO:0032434)	135	73	36.69	+	1.99	5.31E-06	3.32E-04
RNA processing (GO:0006396)	847	457	230.18	+	1.99	1.80E-31	9.44E-29
ubiquitin-dependent ERAD pathway (GO:0030433)	80	43	21.74	+	1.98	5.48E-04	2.03E-02
aerobic respiration (GO:0009060)	153	82	41.58	+	1.97	1.85E-06	1.25E-04
positive regulation of mRNA catabolic process (GO:0061014)	84	45	22.83	+	1.97	4.93E-04	1.86E-02
DNA-templated transcription, initiation (GO:0006352)	88	47	23.92	+	1.97	3.04E-04	1.26E-02
mRNA processing (GO:0006397)	437	233	118.76	+	1.96	5.41E-16	1.10E-13
mRNA metabolic process (GO:0016071)	564	300	153.28	+	1.96	4.62E-20	1.34E-17
tRNA modification (GO:0006400)	91	48	24.73	+	1.94	3.64E-04	1.45E-02
positive regulation of proteasomal ubiquitin-dependent protein catabolic process (GO:0032436)	91	48	24.73	+	1.94	3.64E-04	1.45E-02
negative regulation of protein ubiquitination (GO:0031397)	82	43	22.28	+	1.93	9.13E-04	3.11E-02
regulation of ubiquitin-dependent protein catabolic process (GO:2000058)	166	87	45.11	+	1.93	1.47E-06	1.01E-04
regulation of translation (GO:0006417)	399	208	108.43	+	1.92	1.48E-13	2.29E-11
regulation of chromosome separation (GO:1905818)	73	38	19.84	+	1.92	1.61E-03	4.96E-02
amide biosynthetic process (GO:0043604)	500	260	135.88	+	1.91	1.08E-16	2.37E-14
negative regulation of chromosome organization (GO:2001251)	79	41	21.47	+	1.91	1.12E-03	3.62E-02
protein localization to mitochondrion (GO:0070585)	79	41	21.47	+	1.91	1.12E-03	3.62E-02
mitotic nuclear division (GO:0140014)	164	85	44.57	+	1.91	3.68E-06	2.38E-04
negative regulation of translation (GO:0017148)	166	86	45.11	+	1.91	2.89E-06	1.91E-04
cellular respiration (GO:0045333)	180	93	48.92	+	1.90	1.13E-06	7.82E-05
negative regulation of cellular amide metabolic process (GO:0034249)	188	97	51.09	+	1.90	6.41E-07	4.62E-05
ERAD pathway (GO:0036503)	95	49	25.82	+	1.90	4.66E-04	1.79E-02
telomere organization (GO:0032200)	82	42	22.28	+	1.88	1.31E-03	4.17E-02
regulation of TOR signaling (GO:0032006)	102	52	27.72	+	1.88	3.49E-04	1.41E-02
regulation of proteasomal protein catabolic process (GO:0061136)	187	95	50.82	+	1.87	1.66E-06	1.13E-04
RNA metabolic process (GO:0016070)	1403	710	381.29	+	1.86	3.84E-42	3.02E-39
RNA modification (GO:0009451)	168	85	45.66	+	1.86	6.51E-06	4.04E-04
posttranscriptional regulation of gene expression (GO:0010608)	504	255	136.97	+	1.86	3.02E-15	5.65E-13
regulation of proteolysis involved in cellular protein catabolic process (GO:1903050)	222	112	60.33	+	1.86	2.58E-07	2.01E-05
positive regulation of proteasomal protein catabolic process (GO:1901800)	115	58	31.25	+	1.86	2.50E-04	1.05E-02
mitotic sister chromatid segregation (GO:0000070)	115	58	31.25	+	1.86	2.50E-04	1.05E-02
positive regulation of mRNA metabolic process (GO:1903313)	115	58	31.25	+	1.86	2.50E-04	1.05E-02
regulation of mRNA processing (GO:0050684)	139	70	37.78	+	1.85	4.29E-05	2.27E-03
regulation of cellular amide metabolic process (GO:0034248)	455	229	123.65	+	1.85	1.06E-13	1.69E-11
proteasome-mediated ubiquitin-dependent protein catabolic process (GO:0043161)	306	154	83.16	+	1.85	1.27E-09	1.21E-07
peptide metabolic process (GO:0006518)	519	261	141.05	+	1.85	2.40E-15	4.54E-13
positive regulation of response to DNA damage stimulus (GO:2001022)	108	54	29.35	+	1.84	4.79E-04	1.83E-02
negative regulation of protein modification by small protein conjugation or removal (GO:1903321)	94	47	25.55	+	1.84	9.14E-04	3.10E-02
proteasomal protein catabolic process (GO:0010498)	344	171	93.49	+	1.83	3.18E-10	3.40E-08
peptidyl-lysine modification (GO:0018205)	276	137	75.01	+	1.83	2.05E-08	1.76E-06
mitochondrion organization (GO:0007005)	409	203	111.15	+	1.83	7.88E-12	9.38E-10
nuclear export (GO:0051168)	121	60	32.88	+	1.82	2.43E-04	1.04E-02
protein-containing complex disassembly (GO:0032984)	119	59	32.34	+	1.82	3.07E-04	1.27E-02
peptidyl-lysine acetylation (GO:0018394)	115	57	31.25	+	1.82	3.50E-04	1.41E-02
mitochondrial membrane organization (GO:0007006)	110	54	29.89	+	1.81	5.41E-04	2.02E-02
positive regulation of ubiquitin-dependent protein catabolic process (GO:2000060)	108	53	29.35	+	1.81	6.71E-04	2.38E-02
histone acetylation (GO:0016573)	106	52	28.81	+	1.81	8.45E-04	2.90E-02
RNA localization (GO:0006403)	190	93	51.64	+	1.80	7.34E-06	4.49E-04
non-membrane-bounded organelle assembly (GO:0140694)	303	148	82.34	+	1.80	1.47E-08	1.27E-06
nucleic acid metabolic process (GO:0090304)	2007	979	545.43	+	1.79	7.76E-54	1.36E-50
RNA phosphodiester bond hydrolysis (GO:0090501)	156	76	42.40	+	1.79	5.15E-05	2.66E-03
regulation of RNA splicing (GO:0043484)	150	73	40.76	+	1.79	7.40E-05	3.60E-03
regulation of mitotic nuclear division (GO:0007088)	111	54	30.17	+	1.79	7.75E-04	2.70E-02
cell cycle checkpoint signaling (GO:0000075)	148	72	40.22	+	1.79	9.17E-05	4.35E-03
sister chromatid segregation (GO:0000819)	142	69	38.59	+	1.79	1.32E-04	6.00E-03
regulation of protein modification by small protein conjugation or removal (GO:1903320)	243	118	66.04	+	1.79	5.28E-07	3.90E-05
positive regulation of proteolysis involved in cellular protein catabolic process (GO:1903052)	134	65	36.42	+	1.78	2.38E-04	1.02E-02
regulation of DNA repair (GO:0006282)	130	63	35.33	+	1.78	2.73E-04	1.14E-02
regulation of mRNA metabolic process (GO:1903311)	291	141	79.08	+	1.78	4.18E-08	3.51E-06
mitotic cell cycle checkpoint signaling (GO:0007093)	118	57	32.07	+	1.78	5.66E-04	2.09E-02
nucleic acid phosphodiester bond hydrolysis (GO:0090305)	257	124	69.84	+	1.78	3.87E-07	2.95E-05
transcription, DNA-templated (GO:0006351)	394	190	107.08	+	1.77	2.51E-10	2.73E-08
internal peptidyl-lysine acetylation (GO:0018393)	112	54	30.44	+	1.77	8.17E-04	2.81E-02
double-strand break repair (GO:0006302)	189	91	51.36	+	1.77	1.35E-05	7.89E-04
nucleic acid-templated transcription (GO:0097659)	395	190	107.35	+	1.77	2.68E-10	2.88E-08
macroautophagy (GO:0016236)	156	75	42.40	+	1.77	9.64E-05	4.55E-03
protein methylation (GO:0006479)	129	62	35.06	+	1.77	3.59E-04	1.44E-02
protein alkylation (GO:0008213)	129	62	35.06	+	1.77	3.59E-04	1.43E-02
signal transduction in response to DNA damage (GO:0042770)	134	64	36.42	+	1.76	3.28E-04	1.34E-02
modification-dependent macromolecule catabolic process (GO:0043632)	547	261	148.66	+	1.76	2.27E-13	3.37E-11
RNA biosynthetic process (GO:0032774)	407	194	110.61	+	1.75	3.27E-10	3.42E-08
regulation of cellular protein catabolic process (GO:1903362)	256	122	69.57	+	1.75	6.96E-07	4.95E-05
ubiquitin-dependent protein catabolic process (GO:0006511)	525	250	142.68	+	1.75	7.94E-13	1.09E-10
regulation of RNA stability (GO:0043487)	168	80	45.66	+	1.75	6.42E-05	3.26E-03
DNA repair (GO:0006281)	478	227	129.90	+	1.75	1.43E-11	1.69E-09
regulation of mRNA stability (GO:0043488)	156	74	42.40	+	1.75	1.32E-04	6.01E-03
cellular macromolecule catabolic process (GO:0044265)	818	388	222.30	+	1.75	3.80E-19	1.05E-16
positive regulation of chromosome organization (GO:2001252)	175	83	47.56	+	1.75	4.76E-05	2.49E-03
autophagy (GO:0006914)	272	129	73.92	+	1.75	4.05E-07	3.07E-05
process utilizing autophagic mechanism (GO:0061919)	272	129	73.92	+	1.75	4.05E-07	3.06E-05
modification-dependent protein catabolic process (GO:0019941)	536	254	145.67	+	1.74	8.97E-13	1.22E-10
internal protein amino acid acetylation (GO:0006475)	114	54	30.98	+	1.74	1.22E-03	3.93E-02
regulation of mRNA catabolic process (GO:0061013)	167	79	45.38	+	1.74	8.40E-05	4.04E-03
macromolecule methylation (GO:0043414)	253	119	68.76	+	1.73	1.54E-06	1.06E-04
protein acetylation (GO:0006473)	134	63	36.42	+	1.73	4.61E-04	1.77E-02
regulation of protein ubiquitination (GO:0031396)	211	99	57.34	+	1.73	1.37E-05	7.99E-04
cellular protein catabolic process (GO:0044257)	629	295	170.94	+	1.73	2.80E-14	4.73E-12
protein folding (GO:0006457)	209	98	56.80	+	1.73	1.70E-05	9.69E-04
mitochondrial transport (GO:0006839)	207	97	56.26	+	1.72	1.60E-05	9.16E-04
proteolysis involved in cellular protein catabolic process (GO:0051603)	602	282	163.60	+	1.72	1.40E-13	2.18E-11
cellular protein-containing complex assembly (GO:0034622)	780	365	211.98	+	1.72	2.64E-17	5.84E-15
mRNA transport (GO:0051028)	137	64	37.23	+	1.72	5.12E-04	1.93E-02
negative regulation of mitotic cell cycle phase transition (GO:1901991)	152	71	41.31	+	1.72	2.79E-04	1.16E-02
gene expression (GO:0010467)	1992	929	541.36	+	1.72	1.93E-44	1.90E-41
vacuole organization (GO:0007033)	146	68	39.68	+	1.71	4.00E-04	1.58E-02
cellular macromolecule biosynthetic process (GO:0034645)	1368	637	371.77	+	1.71	1.28E-29	6.49E-27
transcription by RNA polymerase II (GO:0006366)	247	115	67.13	+	1.71	3.94E-06	2.51E-04
response to endoplasmic reticulum stress (GO:0034976)	217	101	58.97	+	1.71	1.32E-05	7.77E-04
ATP metabolic process (GO:0046034)	202	94	54.90	+	1.71	3.14E-05	1.72E-03
regulation of chromosome organization (GO:0033044)	286	133	77.72	+	1.71	7.08E-07	5.01E-05
cellular response to DNA damage stimulus (GO:0006974)	720	334	195.67	+	1.71	1.82E-15	3.54E-13
macromolecule biosynthetic process (GO:0009059)	1391	643	378.03	+	1.70	3.05E-29	1.50E-26
positive regulation of protein modification by small protein conjugation or removal (GO:1903322)	141	65	38.32	+	1.70	6.04E-04	2.20E-02
protein catabolic process (GO:0030163)	682	314	185.34	+	1.69	2.66E-14	4.55E-12
cellular nitrogen compound biosynthetic process (GO:0044271)	1289	593	350.31	+	1.69	1.54E-26	6.55E-24
positive regulation of translation (GO:0045727)	137	63	37.23	+	1.69	9.27E-04	3.14E-02
response to ionizing radiation (GO:0010212)	148	68	40.22	+	1.69	5.83E-04	2.14E-02
regulation of response to DNA damage stimulus (GO:2001020)	222	102	60.33	+	1.69	2.10E-05	1.18E-03
DNA recombination (GO:0006310)	225	103	61.15	+	1.68	2.35E-05	1.31E-03
macromolecule catabolic process (GO:0009057)	909	416	247.03	+	1.68	2.76E-18	6.66E-16
methylation (GO:0032259)	306	140	83.16	+	1.68	6.38E-07	4.62E-05
energy derivation by oxidation of organic compounds (GO:0015980)	245	112	66.58	+	1.68	8.85E-06	5.33E-04
nucleosome organization (GO:0034728)	140	64	38.05	+	1.68	7.84E-04	2.72E-02
nucleobase-containing compound metabolic process (GO:0006139)	2474	1129	672.35	+	1.68	1.42E-51	2.23E-48
negative regulation of mitotic cell cycle (GO:0045930)	204	93	55.44	+	1.68	6.08E-05	3.10E-03
establishment of RNA localization (GO:0051236)	169	77	45.93	+	1.68	2.98E-04	1.24E-02
chromatin assembly or disassembly (GO:0006333)	154	70	41.85	+	1.67	5.45E-04	2.03E-02
protein polyubiquitination (GO:0000209)	218	99	59.24	+	1.67	4.28E-05	2.27E-03
negative regulation of cell cycle phase transition (GO:1901988)	207	94	56.26	+	1.67	6.77E-05	3.37E-03
DNA replication (GO:0006260)	192	87	52.18	+	1.67	1.23E-04	5.66E-03
histone modification (GO:0016570)	357	161	97.02	+	1.66	1.77E-07	1.40E-05
covalent chromatin modification (GO:0016569)	362	163	98.38	+	1.66	1.60E-07	1.29E-05
RNA transport (GO:0050658)	167	75	45.38	+	1.65	4.89E-04	1.86E-02
nucleic acid transport (GO:0050657)	167	75	45.38	+	1.65	4.89E-04	1.85E-02
protein acylation (GO:0043543)	174	78	47.29	+	1.65	3.57E-04	1.43E-02
chromatin organization (GO:0006325)	686	307	186.43	+	1.65	9.07E-13	1.22E-10
heterocycle metabolic process (GO:0046483)	2625	1174	713.38	+	1.65	1.78E-50	2.54E-47
cell division (GO:0051301)	499	223	135.61	+	1.64	1.35E-09	1.27E-07
regulation of macroautophagy (GO:0016241)	141	63	38.32	+	1.64	1.43E-03	4.48E-02
transport along microtubule (GO:0010970)	150	67	40.76	+	1.64	1.11E-03	3.61E-02
establishment of protein localization to organelle (GO:0072594)	300	134	81.53	+	1.64	3.63E-06	2.36E-04
electron transport chain (GO:0022900)	166	74	45.11	+	1.64	6.25E-04	2.24E-02
protein targeting (GO:0006605)	229	102	62.23	+	1.64	6.25E-05	3.18E-03
protein stabilization (GO:0050821)	196	87	53.27	+	1.63	2.47E-04	1.05E-02
response to UV (GO:0009411)	151	67	41.04	+	1.63	1.15E-03	3.72E-02
chromosome organization (GO:0051276)	1021	452	277.47	+	1.63	6.93E-18	1.60E-15
protein-DNA complex subunit organization (GO:0071824)	208	92	56.53	+	1.63	1.61E-04	7.18E-03
positive regulation of cellular protein catabolic process (GO:1903364)	156	69	42.40	+	1.63	1.03E-03	3.44E-02
positive regulation of cellular amide metabolic process (GO:0034250)	163	72	44.30	+	1.63	9.84E-04	3.29E-02
cellular aromatic compound metabolic process (GO:0006725)	2688	1186	730.50	+	1.62	1.04E-48	1.36E-45
negative regulation of cell cycle process (GO:0010948)	254	112	69.03	+	1.62	3.60E-05	1.95E-03
microtubule-based transport (GO:0099111)	186	82	50.55	+	1.62	4.03E-04	1.59E-02
cellular nitrogen compound metabolic process (GO:0034641)	3193	1407	867.75	+	1.62	2.80E-59	5.50E-56
nucleocytoplasmic transport (GO:0006913)	216	95	58.70	+	1.62	1.58E-04	7.11E-03
nuclear transport (GO:0051169)	216	95	58.70	+	1.62	1.58E-04	7.09E-03
regulation of protein catabolic process (GO:0042176)	398	175	108.16	+	1.62	2.23E-07	1.74E-05
vacuolar transport (GO:0007034)	155	68	42.12	+	1.61	1.32E-03	4.17E-02
nucleobase-containing compound biosynthetic process (GO:0034654)	738	323	200.56	+	1.61	1.57E-12	2.08E-10
cellular amide metabolic process (GO:0043603)	780	341	211.98	+	1.61	3.93E-13	5.67E-11
DNA metabolic process (GO:0006259)	714	312	194.04	+	1.61	4.82E-12	5.87E-10
regulation of mitotic cell cycle phase transition (GO:1901990)	277	121	75.28	+	1.61	1.99E-05	1.13E-03
endosomal transport (GO:0016197)	220	96	59.79	+	1.61	1.79E-04	7.90E-03
heterocycle biosynthetic process (GO:0018130)	809	353	219.86	+	1.61	1.89E-13	2.85E-11
negative regulation of cellular catabolic process (GO:0031330)	257	112	69.84	+	1.60	5.14E-05	2.66E-03
chromosome segregation (GO:0007059)	281	122	76.37	+	1.60	2.85E-05	1.57E-03
mitotic cell cycle (GO:0000278)	599	260	162.79	+	1.60	5.37E-10	5.52E-08
chromatin remodeling (GO:0006338)	247	107	67.13	+	1.59	8.39E-05	4.05E-03
protein localization to organelle (GO:0033365)	640	277	173.93	+	1.59	1.72E-10	1.90E-08
mitotic cell cycle process (GO:1903047)	509	220	138.33	+	1.59	1.52E-08	1.31E-06
nuclear chromosome segregation (GO:0098813)	221	95	60.06	+	1.58	3.10E-04	1.27E-02
intracellular protein transport (GO:0006886)	689	295	187.25	+	1.58	1.12E-10	1.24E-08
regulation of mitotic cell cycle (GO:0007346)	433	185	117.67	+	1.57	4.70E-07	3.50E-05
negative regulation of cell cycle (GO:0045786)	345	147	93.76	+	1.57	8.17E-06	4.96E-04
aromatic compound biosynthetic process (GO:0019438)	821	349	223.12	+	1.56	3.43E-12	4.28E-10
vesicle organization (GO:0016050)	273	116	74.19	+	1.56	8.12E-05	3.92E-03
organic cyclic compound metabolic process (GO:1901360)	2922	1240	794.10	+	1.56	1.99E-44	1.84E-41
regulation of cellular catabolic process (GO:0031329)	813	345	220.94	+	1.56	5.78E-12	6.99E-10
negative regulation of catabolic process (GO:0009895)	316	134	85.88	+	1.56	2.73E-05	1.52E-03
positive regulation of DNA metabolic process (GO:0051054)	203	86	55.17	+	1.56	8.56E-04	2.92E-02
protein modification by small protein conjugation or removal (GO:0070647)	849	359	230.73	+	1.56	3.27E-12	4.15E-10
protein modification by small protein conjugation (GO:0032446)	710	300	192.95	+	1.55	2.46E-10	2.68E-08
organonitrogen compound biosynthetic process (GO:1901566)	1250	528	339.71	+	1.55	1.28E-17	2.86E-15
nucleobase-containing compound catabolic process (GO:0034655)	277	117	75.28	+	1.55	9.05E-05	4.32E-03
regulation of DNA metabolic process (GO:0051052)	358	151	97.29	+	1.55	9.02E-06	5.41E-04
regulation of protein stability (GO:0031647)	306	129	83.16	+	1.55	4.39E-05	2.32E-03
protein-containing complex assembly (GO:0065003)	1185	499	322.04	+	1.55	1.74E-16	3.69E-14
protein-containing complex subunit organization (GO:0043933)	1337	563	363.35	+	1.55	1.58E-18	3.93E-16
nuclear division (GO:0000280)	304	128	82.62	+	1.55	5.31E-05	2.74E-03
regulation of cell cycle phase transition (GO:1901987)	366	154	99.47	+	1.55	8.63E-06	5.22E-04
cell cycle (GO:0007049)	1205	504	327.48	+	1.54	3.58E-16	7.51E-14
positive regulation of protein catabolic process (GO:0045732)	237	99	64.41	+	1.54	4.71E-04	1.80E-02
cellular macromolecule metabolic process (GO:0044260)	4442	1852	1207.18	+	1.53	5.46E-68	1.43E-64
organelle fission (GO:0048285)	329	137	89.41	+	1.53	3.81E-05	2.04E-03
regulation of catabolic process (GO:0009894)	956	398	259.81	+	1.53	9.34E-13	1.24E-10
cellular protein metabolic process (GO:0044267)	3219	1340	874.81	+	1.53	4.03E-45	4.23E-42
Golgi vesicle transport (GO:0048193)	286	119	77.72	+	1.53	1.43E-04	6.47E-03
viral process (GO:0016032)	253	105	68.76	+	1.53	3.44E-04	1.40E-02
organelle assembly (GO:0070925)	738	306	200.56	+	1.53	7.76E-10	7.62E-08
positive regulation of cellular catabolic process (GO:0031331)	425	176	115.50	+	1.52	4.25E-06	2.69E-04
DNA conformation change (GO:0071103)	269	111	73.10	+	1.52	3.10E-04	1.27E-02
nucleobase-containing compound transport (GO:0015931)	223	92	60.60	+	1.52	1.10E-03	3.60E-02
protein ubiquitination (GO:0016567)	661	272	179.64	+	1.51	1.39E-08	1.22E-06
cell cycle process (GO:0022402)	802	330	217.96	+	1.51	3.22E-10	3.42E-08
intracellular transport (GO:0046907)	1247	513	338.89	+	1.51	1.90E-15	3.64E-13
cellular response to stress (GO:0033554)	1519	624	412.81	+	1.51	1.04E-18	2.68E-16
regulation of cell cycle process (GO:0010564)	628	256	170.67	+	1.50	6.57E-08	5.43E-06
positive regulation of catabolic process (GO:0009896)	494	201	134.25	+	1.50	2.02E-06	1.36E-04
cellular biosynthetic process (GO:0044249)	2293	931	623.16	+	1.49	5.74E-27	2.51E-24
regulation of cell cycle (GO:0051726)	1001	405	272.04	+	1.49	1.53E-11	1.77E-09
establishment of protein localization (GO:0045184)	1273	515	345.96	+	1.49	1.63E-14	2.88E-12
peptidyl-amino acid modification (GO:0018193)	851	344	231.27	+	1.49	5.83E-10	5.95E-08
protein transport (GO:0015031)	1183	478	321.50	+	1.49	1.92E-13	2.87E-11
cellular component biogenesis (GO:0044085)	2481	999	674.25	+	1.48	3.58E-28	1.66E-25
organic substance biosynthetic process (GO:1901576)	2354	943	639.73	+	1.47	7.77E-26	3.13E-23
biosynthetic process (GO:0009058)	2420	963	657.67	+	1.46	1.29E-25	4.94E-23
organic cyclic compound biosynthetic process (GO:1901362)	948	377	257.63	+	1.46	4.27E-10	4.44E-08
regulation of autophagy (GO:0010506)	317	126	86.15	+	1.46	4.34E-04	1.68E-02
macromolecule metabolic process (GO:0043170)	5743	2276	1560.75	+	1.46	6.44E-73	2.53E-69
organelle organization (GO:0006996)	3360	1331	913.13	+	1.46	3.35E-36	2.11E-33
